ID,name,age,sex,breed,color,coat,size,neutered,likes_children
1044,Duster,1.0,male,Greyhound Mix,yellow,short,medium,NaN,NaN
1045,Barcsi Detre,0.5,male,Greyhound Mix,striped,short,medium,NaN,NaN
23761,NaN,2.0,male,Unknown Mix,black,long,medium,no,NaN
1043,Baboca,2.0,female,Greyhound Mix,spotty,short,medium,yes,NaN
23762,NaN,4.0,male,Unknown Mix,black,medium,medium,no,NaN
1788,Szolnoki Sanyi,1.0,male,Terrier Mix,black and white,short,small,no,yes
1790,Ujszaszi Asz,4.0,male,Fox Terrier Mix,black and white,short,small,no,yes
1789,Szolnoki Puszedli,1.42,female,Unknown Mix,black and brown,medium,small,no,yes
2135,Szalkas Szuka,0.5,female,Unknown Mix,black and tan,wirehaired,small,yes,NaN
4475,Chance,1.25,male,Unknown Mix,black,short,medium,NaN,NaN
4476,Hope,1.25,male,Unknown Mix,black,short,medium,NaN,NaN
1082,Nelly,3.08,female,Unknown Mix,black and white,short,medium,yes,NaN
23746,NaN,0.25,female,Unknown Mix,gray and white,short,medium,no,NaN
23751,Pici,1.0,male,Unknown Mix,yellow-brown,short,medium,yes,NaN
1039,Gyori Tictac,1.58,male,Greyhound Mix,black and white,short,medium,yes,NaN
23754,NaN,1.0,male,Staffordshire Terrier Mix,black and white,short,medium,NaN,NaN
23745,Tigris,5.0,male,Unknown Mix,striped,short,medium,yes,NaN
4479,Gomez,0.5,male,Unknown Mix,white,short,small,NaN,NaN
1083,Aliz,5.58,female,Unknown Mix,yellow-brown,short,medium,yes,yes
4477,Sebastian,0.17,male,Unknown Mix,apricot,short,small,NaN,NaN
3,Vacok,2.42,male,"Dachshund, Fox Terrier Mix",apricot,short,medium,yes,yes
1785,Kakucsi Potyi,0.33,female,"Chinese Shar-Pei, Dachshund Mix",apricot,short,medium,NaN,yes
1085,Doc,0.58,male,Unknown Mix,tricolor,short,medium,yes,yes
1086,Speedy,1.25,male,Unknown Mix,gray and black,medium,small,yes,yes
4478,Charlotte,3.08,female,Unknown Mix,black and white,short,small,NaN,NaN
529,Chili,0.17,female,Staffordshire Terrier,golden,short,medium,yes,yes
1786,Martelyi Bence,0.75,male,Bull Terrier Mix,striped,short,medium,NaN,NaN
1783,Dabasi Kocos,7.0,female,Fox Terrier Mix,black and white,wirehaired,small,no,no
23752,NaN,0.25,male,Unknown Mix,striped,short,medium,NaN,NaN
23736,Csopi,9.33,female,German Shepherd Dog Mix,saddle back,medium,large,no,NaN
23730,Suzi,13.08,female,German Shepherd Dog Mix,sable,medium,large,yes,NaN
23731,NaN,5.0,male,Unknown Mix,black and white,short,large,yes,NaN
23735,NaN,1.0,male,Unknown Mix,yellow-brown,short,small,no,NaN
1775,Miskolci Kuba,1.25,male,"Beagle, Hound Mix",tricolor,short,medium,no,yes
3521,Panna,7.58,female,Unknown Mix,black,wirehaired,medium,yes,NaN
1037,Lorinci Balu,10.75,male,Greyhound Mix,spotty,short,medium,yes,NaN
23733,NaN,3.0,male,Unknown Mix,yellow-brown,short,small,no,NaN
3519,Alfi,8.33,male,Unknown Mix,black,wirehaired,large,yes,NaN
23739,Taxi,8.0,female,Unknown Mix,yellow-brown,short,large,no,NaN
23738,Bambi,5.5,female,Unknown Mix,striped,short,large,no,NaN
1038,Pecsi Kajla,1.0,male,Greyhound Mix,black,short,medium,yes,NaN
3518,Benji,9.67,male,Terrier Mix,yellow-brown,wirehaired,medium,NaN,NaN
3516,Liza,1.08,female,Unknown Mix,black,short,medium,NaN,yes
3520,Sajti,12.67,male,Unknown Mix,white,long,large,NaN,NaN
1778,Alsonemedi Sidney,0.42,female,"Dachshund, German Shepherd Dog Mix",black,short,small,no,yes
1390,Mazda,4.25,male,Unknown Mix,apricot,short,large,yes,NaN
1781,Miskolci Lupidu,1.17,male,Staffordshire Terrier Mix,striped,short,medium,yes,yes
1388,Gina Es Genova,0.17,female,Unknown Mix,black,short,medium,NaN,yes
