ID,name,age,sex,breed,color,coat,size,neutered,likes_children
282,Monk,1.83,male,Unknown Mix,black,short,medium,,
283,Staffi,2.42,male,Staffordshire Terrier Mix,yellow-brown,short,medium,,
284,Kiki,9.17,female,Rottweiler Mix,black and brown,short,large,yes,
285,Kody,1.42,male,Dachshund Mix,black and brown,short,small,,
286,Ficko,9.92,male,Dachshund Mix,black and brown,short,small,,
287,Lili,3.5,female,Cane Corso Mix,brown,short,large,yes,
288,Bella,1.42,female,Unknown Mix,apricot,short,small,yes,yes
289,Kope,0.83,male,Unknown Mix,brown,medium,medium,yes,yes
290,Melody,1.67,female,Unknown Mix,gray and black,short,large,yes,yes
291,Niko,0.67,male,"Labrador Retriever, Poodle Mix",white,long,medium,no,yes
292,Galadriel,1.58,female,Staffordshire Terrier Mix,brown and white,short,medium,yes,
293,Rex,9.92,male,Unknown Mix,black and brown,medium,large,yes,yes
294,Mirtill,2.92,female,Unknown Mix,brown and white,short,medium,yes,yes
295,Fruzsi,1.0,female,Unknown Mix,black and brown,short,medium,yes,yes
296,Morgo,6.5,male,Unknown Mix,black,short,medium,yes,yes
297,Kugli,6.58,male,Unknown Mix,brown and white,short,large,no,
298,Dabasi Baltazar,3.33,male,Komondor,white,long,large,yes,yes
299,Soroksari Kody,2.42,male,Unknown Mix,striped,short,medium,no,yes
300,Adonis,1.5,male,Dachshund Mix,apricot,short,small,,
301,Dingo,1.92,male,Unknown Mix,brown,short,medium,yes,
302,Kope,0.83,male,Unknown Mix,brown,medium,medium,yes,yes
303,Ocsai Pamacs,2.42,male,Chinese Shar-Pei,red,short,medium,no,yes
304,Brill,2.5,female,Unknown Mix,black and brown,short,medium,yes,
305,Bogar,7.42,male,Unknown Mix,black,short,medium,,
306,Delma,3.67,female,Unknown Mix,black and brown,short,medium,yes,
307,Csutak,2.5,male,Unknown Mix,black and white,short,medium,yes,
308,Rex,11.42,male,German Shepherd Dog Mix,sable,medium,large,no,
309,Dome,2.58,male,Unknown Mix,striped,short,medium,yes,yes
310,Lina,1.0,female,Unknown Mix,black and white,short,medium,,yes
311,Emma,3.58,female,Unknown Mix,black and white,long,medium,yes,yes
312,Blair,1.42,female,Staffordshire Terrier Mix,striped,short,medium,yes,
313,Albertirsai Felix,2.42,male,"Pekingese, Tibetan Spaniel Mix",white,wirehaired,small,yes,yes
314,Maci,11.42,female,Unknown Mix,gray,medium,medium,no,
315,Porcsalmai Greti,8.08,female,Greyhound Mix,spotty,short,medium,yes,
316,Inarcsi Mozes,4.42,male,Rottweiler Mix,black and tan,short,medium,yes,yes
317,Sid,2.5,male,German Shepherd Dog Mix,black and tan,short,medium,yes,
318,Pamacs,6.17,male,Unknown Mix,apricot,long,medium,yes,
319,Nicol,1.0,female,Unknown Mix,apricot,short,medium,,
320,Haven,1.42,female,Unknown Mix,apricot,short,small,yes,
321,Dino,4.58,male,Unknown Mix,black and brown,short,medium,,yes
322,Samuci,5.33,male,Dachshund Mix,black and tan,medium,small,yes,yes
323,Thalia,3.0,female,Terrier Mix,striped,short,small,yes,yes
324,Turkevei Gitta,2.5,female,Unknown Mix,striped,short,medium,yes,
325,Berger,1.42,male,Unknown Mix,apricot,short,medium,,
326,Kyd,1.33,male,Staffordshire Terrier Mix,black and white,short,medium,,
327,Preston,0.92,male,Unknown Mix,black,medium,medium,,yes
328,Morzsa,7.92,male,Dachshund Mix,black,medium,small,,
329,Dunavarsanyi Domino,4.08,male,Puli Mix,black and white,wirehaired,medium,yes,yes
330,Turkevei Zsoka,0.67,female,"Greyhound, Vizsla, Weimaraner Mix",striped,short,small,yes,
331,Hajdusamsoni Bruno,12.58,male,Hungarian Greyhound,striped,short,medium,yes,
332,Paris,0.92,female,Unknown Mix,gray,medium,medium,,yes
333,Logan,2.5,male,Unknown Mix,black,short,medium,yes,
334,Ocsai Black Jack,1.33,male,Unknown Mix,black,short,medium,yes,yes
335,Dominika,9.5,female,Dachshund Mix,black and brown,short,small,,
336,Hajduszoboszloi Titan,5.58,male,Greyhound Mix,striped,short,medium,yes,
337,Zorka,1.67,female,Unknown Mix,white,short,medium,yes,yes
338,Colin,8.5,male,Scotch Collie,tricolor,long,medium,yes,yes
339,,3.5,male,German Shepherd Dog Mix,black,medium,medium,no,
340,Carmen,0.83,female,Unknown Mix,black,short,medium,,yes
341,Felsopakonyi Boxi,1.08,male,Siberian Husky Mix,gray and white,short,medium,yes,yes
342,Zeusz,2.58,male,Unknown Mix,yellow-brown,short,medium,no,
343,Pilla,11.17,female,Unknown Mix,black,short,medium,no,
344,e,11.75,female,Unknown Mix,black,medium,medium,no,
345,Arzen,11.75,female,Unknown Mix,saddle back,short,medium,yes,
346,Kormi,2.58,male,Unknown Mix,black,short,medium,yes,yes
347,,2.58,male,Unknown Mix,yellow-brown,short,medium,no,
348,Adel,10.33,female,Unknown Mix,black and brown,short,small,,
349,Borzas,2.58,male,Unknown Mix,gray,long,medium,,yes
350,Baileys,7.92,female,Unknown Mix,black,medium,medium,yes,
351,Csimbok,7.75,male,Puli Mix,black,long,medium,no,
352,Paca_,9.17,male,Unknown Mix,white,wirehaired,medium,no,
353,Abby,1.58,female,German Shepherd Dog Mix,brown,short,medium,yes,
354,Wolfi,1.75,male,Unknown Mix,yellow-brown,medium,medium,yes,yes
355,Rike,11.92,female,German Shepherd Dog Mix,black and brown,short,medium,yes,
356,Tibi,3.58,male,Unknown Mix,apricot,short,medium,,yes
357,Csengersimai Pamilla,7.58,female,Greyhound Mix,spotty,short,medium,yes,
358,Bimbi,7.17,female,Dachshund Mix,black,short,small,yes,
359,Alpha,1.42,male,Unknown Mix,black and tan,medium,medium,no,
360,,1.67,male,German Shepherd Dog Mix,striped,short,medium,no,
361,Tequila_,11.92,male,Unknown Mix,black,medium,medium,no,
362,Erdi Bella,9.75,female,Mastiff Mix,black and white,short,large,,yes
363,Zseton,1.67,male,"Bearded Collie, Labrador Retriever Mix",black,short,small,yes,yes
364,,2.67,male,Unknown Mix,tricolor,short,medium,no,
365,Yoko,1.92,male,Dachshund Mix,white,short,small,,
366,Debreceni Finlay,4.0,male,Greyhound Mix,yellow-brown,short,medium,yes,
367,Bolka,2.42,male,Unknown Mix,brown and white,short,medium,yes,yes
368,Dani,3.67,male,Unknown Mix,gray,medium,medium,yes,yes
369,Nathan,1.0,male,Unknown Mix,brown,short,medium,,
370,Lola,1.92,female,Unknown Mix,yellow-brown,short,medium,yes,yes
371,Bobek,11.67,male,Labrador Retriever,black,medium,large,no,yes
372,Lora,4.75,female,Unknown Mix,brown,short,medium,yes,yes
373,Alex,4.67,male,German Shepherd Dog Mix,brown,short,medium,no,
374,Csengersimai Kende,0.92,male,"Greyhound, Hungarian Greyhound Mix",brown and white,short,medium,yes,yes
375,Nadine,5.83,female,Unknown Mix,black and brown,short,medium,,
376,Ujhartyani Bruno,4.58,male,"Australian Shepherd, Labrador Retriever Mix",black,medium,medium,no,yes
377,John,1.5,male,Dachshund Mix,apricot,short,small,,
378,Borcsa,1.42,female,Unknown Mix,apricot,short,small,,
379,Hank,1.83,male,Unknown Mix,brown and white,short,medium,,
380,Judit,2.25,female,Unknown Mix,yellow-brown,wirehaired,large,yes,
381,,1.75,male,Unknown Mix,black,medium,medium,no,
382,Kolyki,1.42,female,"German Shepherd Dog, Hound Mix",black and brown,short,medium,,
